BrandID,BrandGUID,BrandDesc,CreatedBy,CreatedDate,ModifiedBy,ModifiedDate,MBrandID,DeptID
53,2FBDB7A7-1A9B-4FE7-A35E-48DB8D146C91,ALETHA CAREY,NULL,NULL,NULL,NULL,11125,28
54,920E2CFB-8C6A-419B-8CAA-AC0D18AD0BEE,ALEX GORE BROWNE,NULL,NULL,NULL,NULL,12370,8
55,CB3865DA-9AE5-4DA8-A66E-D2A3157178EA,ALEX MONROE,NULL,NULL,NULL,NULL,12577,28
56,7924DAC4-5CF0-43B8-82A4-98A72F3EF354,ALEXANDER MCQUEEN,NULL,NULL,NULL,NULL,10803,20
57,00227461-70DD-4B88-9227-91A5B3CD226C,ALEXANDER MCQUEEN,NULL,NULL,NULL,NULL,11168,31
58,88EB8B0D-9E60-494C-A82A-D7EE5F9EA3FC,ALEXANDER MCQUEEN,NULL,NULL,NULL,NULL,11609,41
59,41B805DA-4080-4F3D-BD5D-1C23FCE064D4,ALEXANDER MCQUEEN,NULL,NULL,NULL,NULL,12685,32
60,388310C1-67D1-4A6A-8B62-1CD2167A56E4,ALEXANDER MCQUEEN,NULL,NULL,NULL,NULL,12691,27
61,68B130F9-D365-4A27-AD89-656FDF65C949,Alexander Wang,NULL,NULL,NULL,NULL,13067,7
62,3448D7AD-E74A-4FBA-97D1-EFE5E5DF7208,ALEXANDRA FRANCOIS,NULL,NULL,NULL,NULL,11091,28
63,4498CA6A-FA24-401C-A577-69CFA005887E,ALEXANDRA NEEL,NULL,NULL,NULL,NULL,11608,41
64,314F3E74-04A3-4CD0-B578-D569AAE8B355,ALEXANDRE,NULL,NULL,NULL,NULL,10497,13
65,4A313FAC-CA59-4B4B-A98C-0ED9313775EB,ALEXANDRE,NULL,NULL,NULL,NULL,10535,14
66,F522325C-9B69-4F35-B6B3-957636D2E3B0,ALEXANDRE,NULL,NULL,NULL,NULL,10572,15
67,8DBD02B4-0527-43E0-BE10-30F28BB778EC,ALI HILL LLC,NULL,NULL,NULL,NULL,11049,27
68,871F36E3-97A6-4344-B8AA-86ED2B8F1036,ALICE & ASRID,NULL,NULL,NULL,NULL,12998,36
69,0D88C22C-E61F-4760-90B1-C2C33BFA99CF,ALICE & ASTRID,NULL,NULL,NULL,NULL,11555,37
70,D4822B8B-0CB5-4D76-9BC3-1C3CE56602FE,ALICE AND TRIXIE,NULL,NULL,NULL,NULL,10272,9
71,F80FA7E7-F2A3-4AF8-846D-042062134FDB,ALICE OLIVIA,NULL,NULL,NULL,NULL,10274,9
72,11B7DB67-6B9A-4CB8-AA8C-8BA351E799B2,ALLEGRA HICKS,NULL,NULL,NULL,NULL,11431,34
73,89B11278-52DE-469F-BFF6-FDA8CDAB8A31,ALLUMER,NULL,NULL,NULL,NULL,13062,28
74,EA917575-E2AD-48D9-8349-85AD53C1DDF6,ALLY CAPELLINO,NULL,NULL,NULL,NULL,10650,17
75,3FDFE1BD-C1FD-4F14-8BCF-68245489F45E,ALOE,NULL,NULL,NULL,NULL,11551,37
76,15A2CFB0-3503-4182-8CB2-8CEA0A4255E3,ALPHA,NULL,NULL,NULL,NULL,10288,9
77,55BA386E-04C5-4C74-8345-0C209005B6D8,ALTRU,NULL,NULL,NULL,NULL,10467,12
78,2774A83F-D22E-4B7D-9859-60F6E7410ACC,ALVIN CONNOR,NULL,NULL,NULL,NULL,11951,40
79,55033CAB-89E0-47BF-BD15-3F7EE02660FC,AMANDA LACEY,NULL,NULL,NULL,NULL,11920,40
80,3B40ABFB-F890-4BD9-B466-470C280C0261,AMBIKA,NULL,NULL,NULL,NULL,11439,34
81,E5E53FED-C14B-494B-8A98-80AA41E2221E,AMERICAN DESIGNER FRAGRANCE,NULL,NULL,NULL,NULL,11983,39
82,427052DA-968D-4765-98DD-3E5DB3DFD879,AMERICAN RETRO,NULL,NULL,NULL,NULL,13205,9
83,6297B70C-0347-46FE-9A3C-71EE11CE8B3F,AMERICAN VITAMIN COMPANY,NULL,NULL,NULL,NULL,12107,40
84,2F43CC03-59A4-40FB-A4ED-C4A545337A55,AMORALIA,NULL,NULL,NULL,NULL,12871,36
85,060A07C9-E25C-4C7B-BE0D-951194AEE2B9,AMY CHAN,NULL,NULL,NULL,NULL,11238,32
86,5117DD37-01BF-4B9B-82E4-7CE5157E4509,ANATOMICALS,NULL,NULL,NULL,NULL,11921,40
87,DF551E20-0C62-4A81-A28A-B43951CB7EF5,ANDRE SARDA,NULL,NULL,NULL,NULL,11509,36
88,6AE18CFE-EA47-491D-B828-8C99BE3D20F5,ANDRE SARDA,NULL,NULL,NULL,NULL,11546,37
89,2575B1ED-FAED-410D-AC46-D36739A9F195,ANDREW GN,NULL,NULL,NULL,NULL,10073,2
90,C7105903-352D-40EA-A795-C0722C7735F5,ANDREW GN,NULL,NULL,NULL,NULL,12545,28
91,6015426C-8D07-4EBF-A81A-047E60B4FE45,ANDREW GN,NULL,NULL,NULL,NULL,12844,41
92,B1BBA353-6F0C-4DDB-8031-2FE252F73FA9,ANDREW WILIKIE,NULL,NULL,NULL,NULL,11023,27
93,45A1B95D-C9B0-4096-A997-42583097A454,ANGEL,NULL,NULL,NULL,NULL,11802,39
94,EC110FBD-01D5-4D10-9ACB-11B6C7606B4B,ANGELOS FRENTZOS,NULL,NULL,NULL,NULL,12124,18
95,616F6067-EF42-43B6-B17E-57B36658D9B2,ANGIE GOODERHAM,NULL,NULL,NULL,NULL,11101,28
96,FF995055-17D3-49A9-ABCC-E02D1ABF76F0,ANGLO,NULL,NULL,NULL,NULL,10907,23
97,95F95BA5-95D7-474F-96E0-1AF4C278488F,ANN DEMEULEMEESTER,NULL,NULL,NULL,NULL,10802,20
98,D79ED3F3-25A2-4C32-B434-EEDAA3543FB5,ANN DEMEULUMEESTER,NULL,NULL,NULL,NULL,11572,41
99,C41913CB-A94F-40BC-8644-0AB3E7F0214C,ANN LOUISE ROSWALD,NULL,NULL,NULL,NULL,11434,34
100,43382246-25A4-4873-9EA1-CEA44B7078D2,ANN TRZEBINSKI,NULL,NULL,NULL,NULL,11213,32
101,1E791A49-9D67-44E8-A45E-48FB1DE4A259,ANNA LOU,NULL,NULL,NULL,NULL,11134,28
102,02CD66C3-1B5C-4174-9ABE-C3FA9E11C7F8,ANNA TRZEBINSKI,NULL,NULL,NULL,NULL,11054,27
103,7C890BC3-59CA-4C4E-AF28-38C0633BB8FE,ANNE KLEIN,NULL,NULL,NULL,NULL,10191,8
104,93B209A4-FE6A-4322-A6B5-E5E061B8FCD4,ANNE VALERIE HASH,NULL,NULL,NULL,NULL,12781,3
105,6D740E21-62A7-46B3-826A-BF874E8017CB,ANNETTE OLIVIERI,NULL,NULL,NULL,NULL,11421,34
106,1F19E672-4832-475A-AD2C-659A23B7CCFF,ANN-LOUISE ROSWOLD,NULL,NULL,NULL,NULL,10210,8
107,F2BA9788-D968-4C32-BBA9-43876FD370DD,ANOTHER MAN MAGAZINE,NULL,NULL,NULL,NULL,12736,20
108,3ECFFFE6-5A39-4D3F-A1C7-5B8D53AF2B79,ANTI PAST,NULL,NULL,NULL,NULL,11476,35
109,69317A16-3B45-49C2-AC71-6A877428354B,ANTIK DENIM,NULL,NULL,NULL,NULL,12732,18
110,05FBD5A6-F7BF-4006-A717-8F16A6237B37,ANTON HEUNIS,NULL,NULL,NULL,NULL,12054,28
111,B40389DB-9D04-4C58-A94B-3B8C99C42845,ANTONI & ALISON,NULL,NULL,NULL,NULL,11650,42
112,29C2AE94-ADDF-4155-BBE2-04F47B062AC5,ANTONI AND ALISON,NULL,NULL,NULL,NULL,10294,9
113,BCF31783-DD35-4C89-BD0A-4E2314EE207B,ANYA HINDMARCH,NULL,NULL,NULL,NULL,10984,26
114,553884F7-0855-4D4E-84A4-609F3D1B5201,ANYA HINDMARCH,NULL,NULL,NULL,NULL,11158,30
115,7DAADC85-3073-43A9-85A0-88417FD1E124,ANYA HINDMARCH,NULL,NULL,NULL,NULL,11209,32
116,C28CBC40-9A52-489A-994A-692890D04A2D,ANYA HINDMARCH,NULL,NULL,NULL,NULL,12005,34
117,BBB1398A-B2E0-43F4-A9E7-23B2F1846D7B,ANYA HINDMARCH DUMP,NULL,NULL,NULL,NULL,90208,30
118,F2879723-0811-4120-B742-9B36B2EA8D03,AON,NULL,NULL,NULL,NULL,12836,18
119,351F87A8-2CE4-4B76-BB9A-7C18E10522D7,AON,NULL,NULL,NULL,NULL,12934,45
120,B216A075-9332-4A50-B27A-B6CB8DD6EBBA,APC,NULL,NULL,NULL,NULL,10206,8
121,2DFE1986-0973-4A0D-8331-EAD0C28BB8C0,APC,NULL,NULL,NULL,NULL,10729,18
122,7366A33E-BB4E-4A7D-9347-6D72E81F1CE5,APOTHIA,NULL,NULL,NULL,NULL,13136,40
123,E89E84F1-DB1B-4FE3-A708-E0D3902E167B,Apr-77,NULL,NULL,NULL,NULL,13003,9
124,75696D8B-E75B-4FC5-83E1-C3EEF9C708A9,Apr-77,NULL,NULL,NULL,NULL,13012,9
125,51EFE42A-8ECE-4405-B200-F90F6C52D48D,AQUA DI PARMA,NULL,NULL,NULL,NULL,11831,39
126,5138333B-D8D2-4C75-8E5E-8D7DB0115C3A,AQUIS,NULL,NULL,NULL,NULL,11933,40
127,EEC0B3C4-6F7D-49B8-B738-F1CCC12290BE,ARAKS,NULL,NULL,NULL,NULL,11511,36
128,7370D0FB-754B-45C7-8587-EEC343EF9FB3,ARAKS,NULL,NULL,NULL,NULL,11548,37
129,0B42D351-B18B-47E0-BBC0-6F9DF26E76D6,ARAMIS,NULL,NULL,NULL,NULL,11770,39
130,C815F21A-BC34-40AF-880E-3558B551B584,ARGENTOVIVO,NULL,NULL,NULL,NULL,11514,36
131,7D68988D-D70B-4FBA-ACE1-DD470B5033D0,ARGENTOVIVO,NULL,NULL,NULL,NULL,11550,37
132,DD15840C-3E26-40D8-8C43-CE23D8B9FD59,ARIS GELDIS,NULL,NULL,NULL,NULL,12823,28
133,1A003E16-EFD4-4AAB-8321-F9D9512135A5,ARMANI,NULL,NULL,NULL,NULL,10783,19
134,3A564D91-B248-4A2D-9078-7652AA69E4EA,ARMANI ACCESSORIES,NULL,NULL,NULL,NULL,10669,13
135,B1273893-8A81-4918-B545-7E2118C43505,ARMANI COLLEZIONI,NULL,NULL,NULL,NULL,10187,8
136,594EA790-5629-4F48-B1A7-5A5E341A06FC,ARMANI COLLEZIONI,NULL,NULL,NULL,NULL,12147,15
137,D96A2C82-552F-49C4-8513-51C620938138,ARMANI COLLEZIONI,NULL,NULL,NULL,NULL,12148,14
138,96BDF521-5B72-4915-9383-6546CBE45164,ARMANI COSMETICS,NULL,NULL,NULL,NULL,12509,39
139,6B9AABE1-8FEC-4F5B-AFEE-DBCC42042EC4,ARMANI JEANS,NULL,NULL,NULL,NULL,10227,9
140,E29DD079-0970-4603-BC40-1B161B50F08D,ARMANI JEANS,NULL,NULL,NULL,NULL,10359,12
